why would i make abot for myself saying bad words???,Angry,0.2
ight dun,Angry,1.0
"Later, lemme finish the Raskin ring real quick",Angry,0.5
its multiple choice?,Angry,1.0
mad Sus,Angry,1.0
I might but not rly sure rn,Angry,0.5
hriday: we do a lil trolling,Angry,1.0
red switches are dog water,Angry,0.5
we do a little trolling,Angry,1.0
robotics stuff,Angry,1.0
funi stuff,Angry,1.0
u troll,Angry,1.0
ya that was mad cringe,Angry,1.0
"the people that think the ""vaccine is fake"" and feel unsafe will stay home",Angry,0.2
but imma prob stay home if i have the choice:),Angry,0.67
u say the n word on ur interview,Angry,0.5
"no worries, you have till june, but dont forget",Angry,0.5
"yo i got flamed so hard by shrey for sleeping in my chair, and then this guy ditches us to play tennis",Angry,0.67
troll,Angry,1.0
power,Angry,1.0
ur mad,Angry,1.0
"physics is mad hard, ap chem and apush concepts are easier to learn imo",Angry,1.0
got so mad,Angry,1.0
no one mess with him,Angry,1.0
shut ur headass up,Angry,1.0
trash man,Angry,1.0
u just hover over nathans live,Angry,1.0
are you hiding a grenade?,Angry,1.0
ur mad,Angry,1.0
stay safe beta,Angry,0.5
and then the earrape hit,Angry,1.0
ur mad sus bro,Angry,1.0
190 till next week might be a stretch but its possible,Angry,1.0
hes mad,Angry,1.0
jones is mad,Angry,1.0
no jones is always mad,Angry,0.5
that knife set is trash,Angry,0.5
"@ThamThilly if he has trouble, try to ask him to send an e-giftcard through our email ids",Angry,0.25
that might be easier than shipping for him,Angry,1.0
ew this purple sucks,Angry,1.0
might as well get a 0,Angry,1.0
ok but I’m trolling,Angry,1.0
i dont hit on cartoon girls,Angry,0.5
u guys are mad sus rn,Angry,1.0
shut up u ape,Angry,1.0
nathan r. liu doing a lil trolling,Angry,1.0
shut up hriday,Angry,1.0
just assume random things and stuff,Angry,0.5
u just say random stuff,Angry,0.5
just dont take it the dirty way,Angry,1.0
why would i make abot for myself saying bad words???,Angry,0.2
